Country,State/Province/Department,Zone/Region/Provincia,City/Canton/District/Municipality/Woreda/Municipio/Commune,Area/Towns/Village/Sector/Colonia/Kebele,Farm/Fazenda/MicroMill/CWS,1
Brazil,Minas Gerais,Cerrado Mineiro,,,Patrocinio,
Brazil,Minas Gerais,Cerrado Mineiro,,,Campos Altos,
Brazil,Minas Gerais,Chapada de Minas,,,Vale do Jequitinhonha,
Brazil,Minas Gerais,Chapada de Minas,,,Capelinha,
Brazil,Minas Gerais,Chapada de Minas,,,Mucuri,
Brazil,Minas Gerais,Sul de Minas,,,Poços de Caldas,
Brazil,Minas Gerais,Sul de Minas,,,Alfenas/Ilicinia,
Brazil,Minas Gerais,Sul de Minas,,,Carmo de Minas/Mantiqueira de Minas,
Brazil,Minas Gerais,Sul de Minas,,,ibiraci,
Brazil,Minas Gerais,Matas de Minas,,,Araponga/Caparao,
Brazil,Sao Paulo,San Sebastiao da Grama,,,,
Brazil,Sao Paulo,Mogiana /Alta Mogiana/Franca,,,,
Brazil,Espirito Santo,Montanhas do Espírito Santo,,,,
Brazil,Bahia,Chapada Diamantina,,,,
Brazil,Parana,,,,,
Ethiopia,Harari/Harrar,Harari/Harrar,Amir Nur,,,
Ethiopia,Harari/Harrar,Harari/Harrar,Abadir,,,
Ethiopia,Harari/Harrar,Harari/Harrar,Shenkor,,,
Ethiopia,Harari/Harrar,Harari/Harrar,Jin‘ala,,,
Ethiopia,Harari/Harrar,Harari/Harrar,Aboker,,,
Ethiopia,Harari/Harrar,Harari/Harrar,Hakim,,,
Ethiopia,Harari/Harrar,Harari/Harrar,Sofi,,,
Ethiopia,Harari/Harrar,Harari/Harrar,Erer,,,
Ethiopia,Harari/Harrar,Harari/Harrar,Dire Teyara,,,
Ethiopia,Oromia,Jimma,Agaro Town,,,
Ethiopia,Oromia,Jimma,Chora Botor,,,
Ethiopia,Oromia,Jimma,Dedo,,,
Ethiopia,Oromia,Jimma,Gera,,,
Ethiopia,Oromia,Jimma,Gomma,,,
Ethiopia,Oromia,Jimma,Guma,,,
Ethiopia,Oromia,Jimma,Kersa,,,
Ethiopia,Oromia,Jimma,Limmu Sakka/Saqqa,,,
Ethiopia,Oromia,Jimma,Limmu Kosa,,,
Ethiopia,Oromia,Jimma,Manna,,,
Ethiopia,Oromia,Jimma,Omo Nada,,,
Ethiopia,Oromia,Jimma,Seka Chekorsa,,,
Ethiopia,Oromia,Jimma,Setema,,,
Ethiopia,Oromia,Jimma,Shebe Senbo,,,
Ethiopia,Oromia,Jimma,Sigmo,,,
Ethiopia,Oromia,Jimma,Sokoru,,,
Ethiopia,Oromia,Jimma,Tiro Afeta,,,
Ethiopia,SNNPR,Keffa/Kaffa,Bita,,,
Ethiopia,SNNPR,Keffa/Kaffa,Bonga Town,,,
Ethiopia,SNNPR,Keffa/Kaffa,Chena,,,
Ethiopia,SNNPR,Keffa/Kaffa,Cheta,,,
Ethiopia,SNNPR,Keffa/Kaffa,Decha,,,
Ethiopia,SNNPR,Keffa/Kaffa,Gesha/Gecha,,,
Ethiopia,SNNPR,Keffa/Kaffa,Gewata,,,
Ethiopia,SNNPR,Keffa/Kaffa,Ginbo/Gimbo,,,
Ethiopia,SNNPR,Keffa/Kaffa,Adiyo,,,
Ethiopia,SNNPR,Keffa/Kaffa,Sayilem,,,
Ethiopia,SNNPR,Keffa/Kaffa,Telo,,,
Ethiopia,SNNPR,Sheka,Anderacha,,,
Ethiopia,SNNPR,Sheka,Masha,,,
Ethiopia,SNNPR,Sheka,Yeki,,,
Ethiopia,SNNPR,Bench Maji,Bero,,,
Ethiopia,SNNPR,Bench Maji,Debub Bench /South Bench,,,
Ethiopia,SNNPR,Bench Maji,Guraferda,,,
Ethiopia,SNNPR,Bench Maji,Maji,,,
Ethiopia,SNNPR,Bench Maji,Minit Goldiya,,,
Ethiopia,SNNPR,Bench Maji,Minit Shasha,,,
Ethiopia,SNNPR,Bench Maji,Mizan Aman Town,,,
Ethiopia,SNNPR,Bench Maji,Semien Bench /North Bench,,,
Ethiopia,SNNPR,Bench Maji,She Bench/Shay Bench,,,
Ethiopia,SNNPR,Bench Maji,Sheko,,,
Ethiopia,Oromia,West Arsi,Arsi Negele,,,
Ethiopia,Oromia,West Arsi,Siraro,,,
Ethiopia,Oromia,West Arsi,Shashemene,,,
Ethiopia,Oromia,West Arsi,Shala,,,
Ethiopia,Oromia,West Arsi,Kofele,,,
Ethiopia,Oromia,West Arsi,Kore,,,
Ethiopia,Oromia,West Arsi,Dodola,,,
Ethiopia,Oromia,West Arsi,Gedeb,,,
Ethiopia,Oromia,West Arsi,Nansebo,Refisa,,
Ethiopia,Oromia,West Arsi,Adaba,,,
Ethiopia,Sidama,Sidama,Aleta Wendo,,,
Ethiopia,Sidama,Sidama,Aroresa,,,
Ethiopia,Sidama,Sidama,Arbegona,,,
Ethiopia,Sidama,Sidama,Hawassa Zuria,,,
Ethiopia,Sidama,Sidama,Bensa/Benssa,,,
Ethiopia,Sidama,Sidama,Bursa,,,
Ethiopia,Sidama,Sidama,Boricha,,,
Ethiopia,Sidama,Sidama,Bona Zuria,,,
Ethiopia,Sidama,Sidama,Chere,,,
Ethiopia,Sidama,Sidama,Aleta Chuko,,,
Ethiopia,Sidama,Sidama,Dara,,,
Ethiopia,Sidama,Sidama,Dale,,,
Ethiopia,Sidama,Sidama,Gorche,,,
Ethiopia,Sidama,Sidama,Hula,,,
Ethiopia,Sidama,Sidama,Wondo Genet,,,
Ethiopia,Sidama,Sidama,Loko Abaya,,,
Ethiopia,Sidama,Sidama,Malga,,,
Ethiopia,Sidama,Sidama,Shebedino,,,
Ethiopia,Sidama,Sidama,Wensho,,,
Ethiopia,SNNPR,Gedeo,Bule,,,
Ethiopia,SNNPR,Gedeo,Dila Town,,,
Ethiopia,SNNPR,Gedeo,Dilazuria,,,
Ethiopia,SNNPR,Gedeo,Gedeb,Worka Sakaro,,
Ethiopia,SNNPR,Gedeo,Gedeb,Banko Gotiti,,
